2022-08-25 01:42:59 INFO  TestBase:12 - Test execution has started.....cameraCategoryClickTest
2022-08-25 01:43:02 INFO  TestBase:16 - Test has passed successfully.....cameraCategoryClickTest
2022-08-25 01:43:07 INFO  TestBase:12 - Test execution has started.....clickMyAccountTest
2022-08-25 01:43:07 INFO  TestBase:16 - Test has passed successfully.....clickMyAccountTest
2022-08-25 01:43:27 INFO  TestBase:12 - Test execution has started.....checkoutConfirmTest
2022-08-25 01:44:01 INFO  TestBase:20 - Test has failed and is taking screenshot.....checkoutConfirmTest
2022-08-25 01:44:07 INFO  TestBase:12 - Test execution has started.....accountLoginTest
2022-08-25 01:44:08 INFO  TestBase:16 - Test has passed successfully.....accountLoginTest
2022-08-25 01:44:23 INFO  TestBase:12 - Test execution has started.....isSuccessMessageDisplayed
2022-08-25 01:44:25 INFO  TestBase:16 - Test has passed successfully.....isSuccessMessageDisplayed
2022-08-25 01:44:31 INFO  TestBase:12 - Test execution has started.....addToCartTest
2022-08-25 01:44:32 INFO  TestBase:16 - Test has passed successfully.....addToCartTest
2022-08-25 02:17:20 INFO  TestBase:37 - Navigating to URLdata:,
2022-08-25 02:17:23 INFO  TestBase:42 - Navigated to URLhttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-08-25 02:17:23 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:23 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:23 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:23 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:23 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:23 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:23 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:24 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:24 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:24 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> id: input-email]
2022-08-25 02:17:24 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:24 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> id: input-password]
2022-08-25 02:17:24 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:24 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: input[type='submit']]
2022-08-25 02:17:24 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: input[type='submit']]
2022-08-25 02:17:25 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: input[type='submit']]
2022-08-25 02:17:25 INFO  TestBase:12 - Test execution has started.....cameraCategoryClickTest
2022-08-25 02:17:25 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:25 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #content h2]
2022-08-25 02:17:25 INFO  TestBase:157 - Getting text from.....[[ChromeDriver: chrome on WINDOWS (d0d535486cfae89991fb61c4102f0d7b)] -> css selector: #content h2]
